Date;eco2
2020-12-22T01:12:58Z;400.5
2020-12-22T00:00:25Z;409.9166667
2020-12-21T23:14:47Z;427
2020-12-21T22:00:01Z;1002.871795
2020-12-21T21:24:09Z;903.375
2020-12-21T20:00:14Z;1318.380952
2020-12-21T19:31:10Z;1592.3125
2020-12-21T18:13:47Z;1608.166667
2020-12-21T17:31:08Z;849.1
2020-12-21T16:04:42Z;966.25
2020-12-21T15:14:03Z;1431.88
2020-12-21T14:08:05Z;793
2020-12-21T13:13:46Z;1249.636364
2020-12-21T12:00:00Z;1162.777778
2020-12-21T11:20:27Z;1261.428571
2020-12-18T16:05:26Z;1123
2020-12-18T15:07:42Z;954
2020-12-18T14:25:16Z;1349.181818
2020-12-18T13:00:31Z;1523.4375
2020-12-18T12:28:40Z;1263
2020-12-18T07:25:27Z;1259.333333
2020-12-18T06:06:19Z;930.3333333
2020-12-18T05:00:43Z;1407.870968
2020-12-18T04:06:04Z;1360.324324
2020-12-18T03:00:23Z;1425.027027
2020-12-18T02:04:57Z;1230.083333
2020-12-18T01:00:12Z;1464.957447
2020-12-18T00:00:56Z;1498.415094
2020-12-17T23:00:55Z;1463.22449
2020-12-17T22:02:50Z;1466.913793
2020-12-17T21:00:52Z;1459.166667
2020-12-17T20:00:20Z;1385.382353
2020-12-17T19:00:21Z;1391.122449
2020-12-17T18:05:07Z;1442.488372
2020-12-17T17:00:18Z;1454.263158
2020-12-17T16:00:38Z;1427.093023
2020-12-17T15:13:24Z;1493.521739
2020-12-17T14:00:47Z;1467.404762
2020-12-17T13:04:27Z;1431.733333
2020-12-17T12:08:15Z;1201.888889
2020-12-17T11:25:08Z;1527.333333
2020-12-17T10:04:27Z;1227.538462
2020-12-17T09:01:50Z;1271.5
2020-12-17T08:00:52Z;1363.21875
2020-12-17T07:10:18Z;1320.761905
2020-12-17T06:00:37Z;1352.740741
2020-12-17T05:01:24Z;1162.269231
2020-12-17T04:06:09Z;1479.394737
2020-12-17T03:00:58Z;1498.245283
