;NR;TYP;KBEZ;LBEZ;GPS_LAENGE;GPS_BREITE
170;31901;1;HARDTS1;Hardtstraße;0090906218;0474059288
171;60501;1;RUDDIE1;Rudolf-Diesel-Straße;0090905451;0474027535
172;70003;1;ZÄHRING3;Zähringerplatz;0091104293;0474024578
173;61402;1;AMRH2;Am Rheinufer;0091018618;0474015660
174;61502;1;BOFO2;Bodenseeforum / IHK;0091006381;0474017906
175;61401;1;AMRH1;Am Rheinufer;0091021578;0474014877
176;61301;1;CARLBE1;Carl-Benz-Straße;0090854092;0474035192
177;61201;1;FRITZAR1;Fritz-Arnold-Straße;0090843924;0474032834
178;60401;1;LINEEID1;Line-Eid-Straße;0090918659;0474022624
179;90203;1;JAKOBBU3;Jacob-Burckhardt-Straße;0091059574;0474055116
180;80700;1;BHFPETER;Bahnhof Petershausen;0091019197;0474033107
181;70004;1;ZÄHRING4;Allmannsdorferstr./Zähringerpl.;0091107077;0474024664
182;30912;1;WOLLSCHU;Grundschule Wollmatingen;0090903027;0474122654
183;100110;1;DÖBELEP2;Döbele;0091008212;0473931103
184;100111;1;DÖBELEP1;Döbele;0091007946;0473931084
185;60305;1;NEUWERK1;Neuwerk;0090935495;0474027548
186;60306;1;NEUWERK2;Neuwerk;0090935079;0474027023
187;408111;1;DINTHI1;Dingelsdorf / Thingolthalle;0090918934;0474413257
188;408112;1;DINTHI2;Dingelsdorf / Thingolthalle;0090919301;0474412289
189;500021;1;BODENSE3;Bodensee-Stadion;0091235013;0474001294
190;30911;1;WOLLSCH1;Grundschule Wollmatingen;0090857065;0474123311
191;61501;1;BOFO1;Bodenseeforum / IHK;0091000090;0474018185
192;60802;1;MAXW2;Max Stromeyer Straße West;0090906835;0474044396
193;10002;1;STAAD2;Staad / Autofähre;0091233359;0474055169
194;31202;1;BRANDEN2;Brandenburger Straße;0090846689;0474108629
195;30002;1;URISBER2;Urisberg;0090904956;0474125164
196;41302;1;MAINAU2;Mainau;0091101874;0474203987
197;90002;1;UNIVERS2;Universität;0091116054;0474122712
198;90602;1;PFEIFWE2;Pfeiferhölzle Wendeplatte;0091025231;0474058011
199;90102;1;UNIWEST2;Universität West;0091110645;0474122072
200;90101;1;UNIWEST1;Universität West;0091110695;0474122087
201;91802;1;SONTANN2;Sonnenbühlstraße / Tannenhof;0091150225;0474033561
202;60221;1;NEUERH1;Neue Rheinbrücke;0090948710;0474019037
203;60222;1;NEUERH2;Neue Rheinbrücke;0090947744;0474019350
204;40404;1;WALLHLI4;Wallhausen / Linzgaublick;0090758269;0474446281
205;91801;1;SONTANN1;Sonnenbühlstraße / Tannenhof;0091148264;0474034525
206;30401;1;GSS1;Geschwister-Scholl-Schule;0090944666;0474116943
207;10003;1;STAAD3;Staad / Autofähre, Hotel Schiff;0091238852;0474054442
208;10004;1;STAAD4;Staad / Autofähre, Hotel Schiff;0091241571;0474054437
209;64352;1;EBERT2;Ebertplatz;0091029607;0474013865
210;70404;1;GOTTMAN4;Gottmannplatz;0091011372;0474022160
