;FPL_ID;WUL_NR;LFD_NR;NR;LINIE;KURS_NR;FWG;FGR;ZIEL;TYP;VON_ORT_NR;VON_ORT_TYP;VON_VL;BIS_ORT_NR;BIS_ORT_TYP;BIS_VL;BEGINN;DAUER;VORG_FZNR;FZGT_NR;AUSSTIEG_ENDE;EXT_ID
54;1004007;55;1;55;1;;1;2;;0;10001;1;1;10002;1;24;36600;1920;;1;1;
55;1004007;56;1;56;1;;1;2;;0;10001;1;1;10002;1;24;38400;1920;;1;1;
56;1004007;57;1;57;1;;1;2;;0;10001;1;1;10002;1;24;40200;1920;;1;1;
57;1004007;58;1;58;1;;1;2;;0;10001;1;1;10002;1;24;42000;1920;;1;1;
58;1004007;59;1;59;1;;1;2;;0;10001;1;1;10002;1;24;43800;1920;;1;1;
59;1004007;60;1;60;1;;1;2;;0;10001;1;1;10002;1;24;45600;1920;;1;1;
60;1004007;61;1;61;1;;1;2;;0;10001;1;1;10002;1;24;25800;1920;;1;1;
61;1004007;62;1;62;1;;1;3;;0;10001;1;1;10002;1;24;75420;1680;;1;1;
62;1004007;63;1;63;1;;1;3;;0;10001;1;1;10002;1;24;77220;1680;;1;1;
63;1004007;64;1;64;1;;1;3;;0;10001;1;1;10002;1;24;79020;1680;;1;1;
64;1004007;65;1;65;1;;1;3;;0;10001;1;1;10002;1;24;80820;1680;;1;1;
65;1004007;66;1;66;1;;1;3;;0;10001;1;1;10002;1;24;82620;1680;;1;1;
66;1004007;67;1;67;1;;3;3;;0;110002;1;1;10002;1;9;88800;600;;1;1;
67;1004007;68;1;68;1;;1;3;;0;10001;1;1;10002;1;24;84420;1980;;1;1;
68;1004007;69;1;69;1;;1;3;;0;10001;1;1;10002;1;24;73620;1680;;1;1;
69;1004007;70;1;70;1;;2;3;;0;10001;1;1;110002;1;16;74520;1080;;1;1;
70;1004007;71;1;71;1;;2;3;;0;10001;1;1;110002;1;16;89700;1080;;2;1;
71;1004008;72;1;1;1;;1;3;;0;10001;1;1;10002;1;24;21420;1680;;1;1;
72;1004008;73;1;2;1;;1;3;;0;10001;1;1;10002;1;24;23220;1680;;1;1;
73;1004008;74;1;3;1;;1;3;;0;10001;1;1;10002;1;24;25020;1680;;1;1;
74;1004008;75;1;4;1;;1;3;;0;10001;1;1;10002;1;24;26820;1680;;1;1;
75;1004008;76;1;5;1;;1;3;;0;10001;1;1;10002;1;24;28620;1680;;1;1;
76;1004008;77;1;6;1;;1;3;;0;10001;1;1;10002;1;24;30420;1680;;1;1;
77;1004008;78;1;7;1;;1;2;;0;10001;1;1;10002;1;24;50100;1920;;1;1;
78;1004008;79;1;8;1;;2;3;;0;10001;1;1;110002;1;16;86400;1080;;1;1;
79;1004008;80;1;9;1;;1;3;;0;10001;1;1;10002;1;24;75420;1680;;1;1;
80;1004008;81;1;10;1;;1;3;;0;10001;1;1;10002;1;24;77220;1680;;1;1;
81;1004008;82;1;11;1;;1;3;;0;10001;1;1;10002;1;24;79020;1680;;1;1;
82;1004008;83;1;12;1;;1;3;;0;10001;1;1;10002;1;24;80820;1680;;1;1;
83;1004008;84;1;13;1;;1;3;;0;10001;1;1;10002;1;24;82620;1680;;1;1;
84;1004008;85;1;14;1;;3;3;;0;110002;1;1;10002;1;9;88800;600;;1;1;
85;1004008;86;1;15;1;;1;3;;0;10001;1;1;10002;1;24;84420;1980;;1;1;
86;1004008;87;1;16;1;;1;2;;0;10001;1;1;10002;1;24;32100;1920;;1;1;
87;1004008;88;1;17;1;;1;2;;0;10001;1;1;10002;1;24;33900;1920;;1;1;
88;1004008;89;1;18;1;;1;2;;0;10001;1;1;10002;1;24;35700;1920;;1;1;
89;1004008;90;1;19;1;;1;2;;0;10001;1;1;10002;1;24;37500;1920;;1;1;
90;1004008;91;1;20;1;;1;2;;0;10001;1;1;10002;1;24;41100;1920;;1;1;
91;1004008;92;1;21;1;;1;2;;0;10001;1;1;10002;1;24;39300;1920;;1;1;
92;1004008;93;1;22;1;;1;2;;0;10001;1;1;10002;1;24;45600;1920;;1;1;
93;1004008;94;1;23;1;;1;2;;0;10001;1;1;10002;1;24;47400;1920;;1;1;
94;1004008;95;1;24;1;;1;2;;0;10001;1;1;10002;1;24;46500;1920;;1;1;
95;1004008;96;1;25;1;;1;2;;0;10001;1;1;10002;1;24;48300;1920;;1;1;
96;1004008;97;1;26;1;;1;2;;0;10001;1;1;10002;1;24;49200;1920;;1;1;
97;1004008;98;1;27;1;;1;2;;0;10001;1;1;10002;1;24;51000;1920;;1;1;
98;1004008;99;1;28;1;;1;2;;0;10001;1;1;10002;1;24;51900;1920;;1;1;
