;VON_ORT_NR;VON_ORT_TYP;NACH_ORT_NR;NACH_ORT_TYP;LAENGE;GEBKOERPER
0;6101;1;60801;1;669;
1;6101;1;60901;1;266;
2;6101;1;61002;1;443;
3;10001;1;10301;1;742;
4;10002;1;10102;1;1139;
5;10003;1;10301;1;715;
6;10101;1;10301;1;429;
7;10102;1;10202;1;1232;
8;10201;1;10101;1;1116;
9;10202;1;41302;1;1373;
10;10301;1;10401;1;248;
11;10302;1;10002;1;544;
12;10302;1;10004;1;755;
13;10302;1;10102;1;428;
14;10401;1;91701;1;783;
15;10401;1;91802;1;728;
16;10402;1;10302;1;351;
17;20001;1;30911;1;381;
18;20001;1;31101;1;690;
19;20001;1;32221;1;1986;
20;20002;1;20102;1;449;
21;20002;1;20502;1;510;
22;20002;1;222222;4;125;
23;20101;1;20001;1;440;
24;20102;1;201112;1;408;
25;20201;1;31101;1;645;
26;20202;1;20302;1;886;
27;20301;1;20201;1;909;
28;20302;1;20401;1;639;
29;20401;1;20301;1;499;
30;20501;1;20001;1;537;
31;20502;1;20602;1;773;
32;20601;1;20501;1;790;
33;20602;1;41202;1;1623;
34;30101;1;30201;1;314;
35;30102;1;30912;1;128;
36;30201;1;30501;1;377;
37;30202;1;30102;1;340;
38;30302;1;20002;1;1254;
39;30302;1;30202;1;282;
40;30302;1;30912;1;749;
41;30401;1;30302;1;150;
42;30402;1;90102;1;1908;
43;30501;1;30601;1;417;
44;30502;1;30302;1;237;
45;30502;1;30402;1;318;
46;30601;1;32221;1;141;
47;30702;1;20002;1;1945;
48;30702;1;30502;1;466;
49;30911;1;30101;1;356;
50;30912;1;20002;1;503;
51;30912;1;31101;1;652;
52;31001;1;32501;1;545;
53;31001;1;60305;1;1315;
54;31002;1;30702;1;373;
55;31002;1;32102;1;257;
56;31101;1;6101;1;484;
57;31101;1;31301;1;221;
58;31101;1;31401;1;307;
59;31102;1;20002;1;679;
60;31102;1;20202;1;674;
61;31201;1;31401;1;316;
62;31301;1;6101;1;265;
63;31302;1;31102;1;224;
64;31401;1;31901;1;287;
65;31502;1;31102;1;150;
66;31502;1;31202;1;298;
67;31601;1;31502;1;220;
68;31802;1;31601;1;322;
69;31901;1;30702;1;1232;
70;31901;1;32001;1;456;
71;32001;1;32101;1;357;
72;32002;1;31802;1;258;
73;32101;1;31001;1;294;
74;32102;1;32002;1;434;
75;32221;1;31001;1;416;
76;32221;1;70601;1;1362;
77;32501;1;70601;1;399;
78;32502;1;31002;1;509;
79;32502;1;60305;1;1602;
80;40001;1;333333;4;3999;
81;40002;1;40102;1;474;
82;40101;1;40001;1;553;
83;40102;1;40202;1;199;
84;40201;1;40101;1;244;
85;40202;1;40302;1;1626;
86;40301;1;40201;1;1588;
87;40302;1;40404;1;313;
88;40401;1;40301;1;440;
89;40404;1;40501;1;369;
90;40501;1;40601;1;955;
91;40502;1;40401;1;260;
92;40601;1;40701;1;380;
93;40602;1;40502;1;1030;
94;40701;1;40801;1;407;
95;40702;1;40602;1;400;
96;40801;1;408111;1;212;
97;40802;1;40702;1;434;
98;40901;1;41001;1;1737;
99;40902;1;408112;1;973;
100;41001;1;41101;1;389;
101;41002;1;40902;1;1816;
102;41101;1;41201;1;444;
103;41102;1;41002;1;429;
104;41201;1;20601;1;1633;
105;41201;1;41301;1;1894;
106;41202;1;41102;1;391;
107;41301;1;10201;1;1619;
108;41302;1;41202;1;1921;
109;50101;1;500021;1;376;
110;50201;1;50101;1;678;
111;50201;1;500021;1;316;
112;50301;1;50401;1;458;
113;50302;1;50201;1;412;
114;50401;1;50501;1;503;
115;50402;1;50302;1;412;
116;50501;1;91301;1;445;
117;50502;1;50402;1;493;
118;60101;1;70404;1;591;
119;60101;1;70701;1;637;
120;60102;1;60306;1;558;
121;60102;1;60702;1;613;
122;60221;1;61501;1;240;
123;60222;1;60305;1;400;
124;60301;1;60305;1;437;
125;60302;1;60402;1;361;
126;60305;1;31002;1;1378;
127;60305;1;32501;1;1680;
128;60305;1;60101;1;515;
129;60305;1;60702;1;618;
130;60306;1;60221;1;428;
131;60306;1;60302;1;478;
132;60401;1;60301;1;412;
133;60402;1;60502;1;300;
134;60501;1;60401;1;317;
135;60501;1;60601;1;417;
136;60502;1;61302;1;300;
137;60601;1;60701;1;247;
138;60602;1;60502;1;399;
139;60701;1;60101;1;593;
140;60701;1;60306;1;562;
141;60702;1;60602;1;223;
142;60702;1;60802;1;347;
143;60801;1;60701;1;339;
144;60802;1;61002;1;549;
145;60901;1;61201;1;542;
146;60902;1;61002;1;252;
147;61002;1;31102;1;494;
148;61002;1;31302;1;273;
149;61002;1;31401;1;420;
150;61201;1;61301;1;283;
151;61202;1;60902;1;587;
152;61301;1;60501;1;338;
153;61302;1;61202;1;282;
154;61401;1;70101;1;383;
155;61401;1;70901;1;679;
156;61402;1;61502;1;264;
157;61402;1;70402;1;486;
158;61501;1;61401;1;461;
159;61502;1;60222;1;391;
160;64352;1;61402;1;237;
161;70001;1;71001;1;664;
162;70002;1;90802;1;574;
163;70002;1;90902;1;383;
164;70002;1;710102;1;437;
165;70003;1;710102;1;382;
166;70004;1;91002;1;528;
167;70101;1;70901;1;276;
168;70402;1;60102;1;490;
169;70404;1;61401;1;447;
170;70502;1;70402;1;378;
171;70601;1;710101;1;503;
