;VON_ORT_NR;VON_ORT_TYP;NACH_ORT_NR;NACH_ORT_TYP;LAENGE;GEBKOERPER
172;70602;1;30702;1;1255;
173;70602;1;32502;1;377;
174;70603;1;70502;1;222;
175;70701;1;80700;1;236;
176;70901;1;110201;1;488;
177;70902;1;61402;1;714;
178;70902;1;64352;1;473;
179;71001;1;110201;1;504;
180;71001;1;110801;1;654;
181;71002;1;70002;1;657;
182;71002;1;91302;1;739;
183;71002;1;91402;1;711;
184;80001;1;80301;1;244;
185;80002;1;80202;1;546;
186;80201;1;80001;1;321;
187;80202;1;82802;1;482;
188;80301;1;80401;1;487;
189;80302;1;80002;1;185;
190;80401;1;80501;1;462;
191;80402;1;80302;1;360;
192;80501;1;80601;1;405;
193;80502;1;80402;1;460;
194;80601;1;80701;1;324;
195;80602;1;80502;1;424;
196;80700;1;70601;1;320;
197;80701;1;200011;1;225;
198;80702;1;80602;1;382;
199;81201;1;82901;1;244;
200;81202;1;200012;1;357;
201;82101;1;82301;1;1296;
202;82202;1;82102;1;288;
203;82301;1;82401;1;401;
204;82302;1;82202;1;955;
205;82401;1;83001;1;791;
206;82402;1;82302;1;244;
207;82801;1;80201;1;567;
208;82802;1;83102;1;1487;
209;82901;1;110002;1;713;
210;82901;1;111111;1;586;
211;82902;1;81202;1;249;
212;83001;1;83101;1;319;
213;83002;1;82402;1;709;
214;83101;1;82801;1;1533;
215;83102;1;83002;1;343;
216;90001;1;90201;1;1326;
217;90101;1;30401;1;1995;
218;90102;1;90201;1;1222;
219;90201;1;90701;1;285;
220;90201;1;91501;1;381;
221;90202;1;90002;1;1248;
222;90202;1;90101;1;1119;
223;90203;1;90402;1;174;
224;90401;1;90201;1;255;
225;90402;1;90502;1;465;
226;90501;1;90401;1;431;
227;90502;1;90602;1;188;
228;90601;1;90501;1;211;
229;90701;1;91601;1;472;
230;90702;1;90202;1;354;
231;90801;1;70001;1;502;
232;90802;1;91502;1;226;
233;90901;1;70001;1;363;
234;90902;1;91002;1;347;
235;91001;1;70003;1;565;
236;91001;1;90901;1;333;
237;91002;1;91702;1;503;
238;91201;1;91301;1;564;
239;91202;1;91702;1;463;
240;91301;1;71001;1;662;
241;91302;1;91202;1;489;
242;91402;1;50502;1;421;
243;91501;1;90801;1;293;
244;91502;1;90202;1;482;
245;91502;1;90203;1;488;
246;91601;1;91701;1;721;
247;91601;1;91801;1;502;
248;91602;1;90702;1;476;
249;91701;1;91001;1;418;
250;91701;1;91201;1;369;
251;91702;1;10402;1;614;
252;91702;1;91602;1;621;
253;91801;1;10402;1;709;
254;91802;1;91602;1;505;
255;100001;1;100101;1;198;
256;100002;1;100202;1;332;
257;100101;1;100111;1;256;
258;100102;1;100002;1;259;
259;100110;1;100102;1;193;
260;100111;1;110501;1;220;
261;100201;1;100001;1;307;
262;100202;1;100402;1;339;
263;100401;1;100201;1;319;
264;100402;1;100702;1;381;
265;100701;1;100401;1;413;
266;100702;1;111002;1;273;
267;100901;1;100001;1;405;
268;110001;1;110402;1;442;
269;110002;1;110202;1;321;
270;110201;1;110001;1;435;
271;110201;1;11000001;1;428;
272;110202;1;70902;1;650;
273;110202;1;71002;1;616;
274;110401;1;110002;1;386;
275;110402;1;100110;1;354;
276;110501;1;110401;1;187;
277;110701;1;100901;1;192;
278;110701;1;110501;1;557;
279;110801;1;100701;1;297;
280;110801;1;110701;1;388;
281;111002;1;71002;1;693;
282;111111;1;82902;1;909;
283;200011;1;81201;1;395;
284;200012;1;80702;1;273;
285;201111;1;20101;1;442;
286;408111;1;40901;1;1077;
287;408112;1;40802;1;252;
288;500021;1;50301;1;446;
289;710101;1;70001;1;433;
290;710101;1;70004;1;478;
291;710102;1;70602;1;666;
292;710102;1;70603;1;664;
293;11000001;1;82902;1;751;
294;222222;4;40002;1;5394;
295;333333;4;20001;1;1433;
