;NR;TYP;KBEZ;LBEZ;GPS_LAENGE;GPS_BREITE
84;50302;1;KLINIK2;Kliniken Schmieder;0091214718;0473957465
85;50401;1;ROSENAU1;Rosenau;0091155386;0474001514
86;50402;1;ROSENAU2;Rosenau;0091156127;0474001074
87;50501;1;HEBELST1;Hebelstraße;0091133202;0474008027
88;50502;1;HEBELST2;Hebelstraße;0091134521;0474007542
89;60101;1;STW1;Stadtwerke;0090948648;0474030780
90;60102;1;STW2;Stadtwerke;0090948158;0474031138
91;60301;1;STROMEY1;Stromeyersdorf;0090934323;0474021902
92;60302;1;STROMEY2;Stromeyersdorf;0090931251;0474022769
93;60402;1;LINEEI2;Line-Eid-Straße;0090917669;0474023020
94;60502;1;RUDDIE2;Rudolf-Diesel-Straße;0090905220;0474027703
95;60601;1;OPEL1;Opelstraße;0090915134;0474037450
96;60602;1;OPEL2;Opelstraße;0090914735;0474037288
97;60701;1;MAXO1;Max-Stromeyer-Straße Ost;0090923362;0474038935
98;60702;1;MAXO2;Max-Stromeyer-Straße Ost;0090921761;0474039618
99;60801;1;MAXW1;Max-Stromeyer-Straße West;0090908643;0474043658
100;60901;1;BYK1;Byk-Gulden-Straße;0090848077;0474047414
101;60902;1;BYK2;Byk-Gulden-Straße ;0090848950;0474047654
102;61202;1;FRITZAR2;Fritz-Arnold-Straße;0090845190;0474032228
103;61302;1;CARLBE2;Carl-Benz-Straße;0090855105;0474034473
104;70001;1;ZÄHRING1;Zähringerplatz;0091101081;0474021753
105;70002;1;ZÄHRING2;Zähringerplatz;0091101338;0474020874
106;70101;1;HALLENB1;Hallenbad;0091034857;0474007967
107;70402;1;GOTTMAN2;Gottmannplatz;0091009593;0474024674
108;70502;1;BÜCKLE2;Bücklestraße;0091018764;0474032849
109;70601;1;FRIEDHO1;Friedhof;0091028000;0474039632
110;70602;1;FRIEDHO2;Friedhof;0091022744;0474042061
111;70603;1;FRIEDHO3;Friedhof;0091023718;0474039162
112;70701;1;GOTTSHC1;Gottmannplatz / Schneckenburgstraße;0091014463;0474026181
113;70901;1;STSP1;Sternenplatz / Spanierstraße;0091044301;0474002383
114;70902;1;STSP2;Sternenplatz / Spanierstraße;0091043855;0474003089
115;71001;1;STERNEN1;Sternenplatz;0091045571;0474003155
116;71002;1;STERNEN2;Sternenplatz;0091046326;0474002580
117;80001;1;SEEPARK1;Kreuzlingen, Seepark-Center;0091148370;0473828166
118;80201;1;ZIHL1;Kreuzlingen, Zihlstraße;0091202491;0473825473
119;80202;1;ZIHL2;Kreuzlingen, Zihlstraße;0091205169;0473822691
120;80301;1;KURZRIC1;Kreuzlingen, Kurzrickenbach;0091140229;0473824638
121;80302;1;KURZRIC2;Kreuzlingen, Kurzrickenbach;0091138129;0473824828
122;80401;1;BREITE1;Kreuzlingen, Breite;0091119664;0473831552
123;80402;1;BREITE2;Kreuzlingen, Breite;0091122747;0473830069
124;80501;1;BLAUES1;Kreuzlingen, Blaues-Haus-Platz;0091058974;0473836210
125;80502;1;BLAUES2;Kreuzlingen, Blaues-Haus-Platz;0091102029;0473834615
126;80601;1;SEMINAR1;Kreuzlingen, Seminar/Hirschenplatz;0091042625;0473843230
127;80701;1;BÄREN1;Kreuzlingen, Bärenplatz;0091032026;0473850455
128;80702;1;BÄREN2;Kreuzlingen, Bärenplatz;0091032788;0473850021
129;90201;1;JAKOBBU1;Jacob-Burckhardt-Straße;0091101483;0474054163
130;90202;1;JAKOBBU2;Jacob-Burckhardt-Straße;0091101692;0474056396
131;90401;1;DANZIGE1;Danziger Straße;0091050990;0474053751
132;90402;1;DANZIGE2;Danziger Straße;0091051459;0474053909
133;90501;1;PFEIFER1;Pfeiferhölzle;0091033742;0474058118
134;90502;1;PFEIFER2;Pfeiferhölzle;0091033010;0474057619
135;90601;1;PFEIFW1;Pfeiferhölzle Wendeplatte;0091025218;0474057997
136;90701;1;SONNENR1;Sonnenbühlstraße / Rauhgasse;0091109243;0474048371
137;90702;1;SONNENR2;Sonnenbühlstraße / Rauhgasse;0091109620;0474048334
138;90801;1;FRIEDRI1;Friedrichstraße;0091103007;0474033566
139;90802;1;FRIEDRI2;Friedrichstraße;0091104008;0474034553
140;90901;1;ALLST1;Allmannsdorfer Straße;0091115420;0474025570
141;90902;1;ALLST2;Allmannsdorfer Straße;0091115761;0474025525
142;91001;1;SALZAL1;Salzberg / Allmannsdorfer Str.;0091133854;0474025502
143;91002;1;SALZAL2;Salzberg / Allmannsdorfer Str.;0091132361;0474025548
144;91201;1;SALZBER1;Salzberg;0091134764;0474023598
145;91202;1;SALZBER2;Salzberg;0091135204;0474023151
146;91301;1;KRANKEN1;Klinikum Konstanz;0091113534;0474012765
147;91302;1;KRANKEN2;Klinikum Konstanz;0091116842;0474013641
148;91402;1;EICHHOR2;Eichhornstraße;0091115612;0474012274
149;91501;1;KÖNIGSB1;Königsbau;0091106666;0474042497
150;91502;1;KÖNIGSB2;Königsbau;0091107274;0474041494
151;91601;1;SON1;Sonnenbühlstraße;0091130617;0474043254
152;91602;1;SON2;Sonnenbühlstraße;0091131185;0474043219
153;91701;1;TANNEN1;Tannenhof;0091149600;0474028262
154;91702;1;TANNEN2;Tannenhof;0091152510;0474030822
155;100001;1;SCHULTH1;Schulthaißstraße;0090959225;0473941469
156;100002;1;SCHULTH2;Schulthaißstraße;0090959286;0473941295
157;100101;1;DÖBELE1;Döbelestraße;0090958354;0473935557
158;100102;1;DÖBELE2;Döbelestraße;0091000617;0473934013
159;100201;1;BRÜEL1;Brüelstraße;0090956574;0473950832
160;100202;1;BRÜEL2;Brüelstraße ;0090956103;0473951334
161;100401;1;GARTEN1;Gartenstraße;0090955216;0473958178
162;100402;1;GARTEN2;Gartenstraße;0090957075;0473957899
163;100901;1;LUTHER1;Lutherplatz;0091014794;0473942264
164;90001;1;UNIVERS1;Universität;0091115185;0474124408
165;110002;1;BHF2;Bahnhof;0091037649;0473934170
166;110001;1;BHF1;Marktstätte / Bahnhof;0091037363;0473934690
167;110201;1;KONZIL1;Konzilstr./Theater;0091039423;0473947973
168;110202;1;KONZIL2;Konzilstr./Theater;0091039407;0473943945
169;110701;1;SCHULST1;Bürgerbüro;0091020661;0473944719
170;110801;1;SCHOTTE1;Schottenplatz;0091026293;0473956641
171;111002;1;UNTLAUB2;Laube/Niederburg;0091026703;0473955203
172;710101;1;BISMARC1;Bismarcksteig;0091049187;0474031774
173;710102;1;BISMARC2;Bismarcksteig;0091050575;0474031395
174;20401;1;ZP1;ZfP Reichenau;0090742295;0474131778
175;100701;1;ELLEN1;Ellenrieder Gymnasium;0091014729;0473955876
176;100702;1;ELLEN2;Ellenrieder Gymnasium;0091015096;0473955773
177;31901;1;HARDTS1;Hardtstraße;0090906218;0474059288
178;60501;1;RUDDIE1;Rudolf-Diesel-Straße;0090905451;0474027535
179;80602;1;SEMINAR2;Kreuzlingen, Seminar/Hirschenplatz;0091044885;0473841749
180;70003;1;ZÄHRING3;Zähringerplatz;0091104293;0474024578
181;61402;1;AMRH2;Am Rheinufer;0091018618;0474015660
182;61502;1;BOFO2;Bodenseeforum / IHK;0091006381;0474017906
183;61401;1;AMRH1;Am Rheinufer;0091021578;0474014877
184;61301;1;CARLBE1;Carl-Benz-Straße;0090854092;0474035192
185;61201;1;FRITZAR1;Fritz-Arnold-Straße;0090843924;0474032834
186;60401;1;LINEEID1;Line-Eid-Straße;0090918659;0474022624
187;90203;1;JAKOBBU3;Jacob-Burckhardt-Straße;0091059574;0474055116
188;80700;1;BHFPETER;Bahnhof Petershausen;0091019197;0474033107
189;70004;1;ZÄHRING4;Allmannsdorferstr./Zähringerpl.;0091107077;0474024664
190;200011;1;SONNE1;Kreuzlingen, Sonnenweg;0091029446;0473857403
191;200012;1;SONNE2;Kreuzlingen, Sonnenweg;0091028951;0473858090
192;80002;1;SEEPAR2;Kreuzlingen, Seepark-Center;0091145552;0473826710
193;30912;1;WOLLSCHU;Grundschule Wollmatingen;0090903027;0474122654
194;100110;1;DÖBELEP2;Döbele;0091008212;0473931103
195;100111;1;DÖBELEP1;Döbele;0091007946;0473931084
196;111111;1;CH BHF;Konstanz, Schweizer Bahnhof;0091036484;0473930099
197;60305;1;NEUWERK1;Neuwerk;0090935495;0474027548
198;60306;1;NEUWERK2;Neuwerk;0090935079;0474027023
199;82801;1;BOTTIGP1;Bottighofen, Post;0091227036;0473823448
200;82802;1;BOTTIGP2;Bottighofen, Post;0091227907;0473822987
201;82401;1;MÜNSNO1;Münsterlingen, Nonnenpförtli;0091401358;0473754128
202;82402;1;MÜNSNO2;Münsterlingen, Nonnenpförtli;0091401967;0473753987
203;82301;1;MÜNSTSP1;Münsterlingen, Spitaleingang;0091410939;0473751877
204;82302;1;MÜNSTSP2;Münsterlingen, Spitaleingang;0091410659;0473751877
205;82202;1;LANDPO2;Landschlacht, Schulstraße;0091445715;0473738198
206;82101;1;LANDVOR1;Landschlacht, Vorderdorf;0091457765;0473734776
207;82102;1;LANDVOR2;Landschlacht, Vorderdorf;0091457601;0473734628
208;82901;1;KREUHA1;Kreuzlingen, Hauptzoll;0091024322;0473917694
209;82902;1;KREUHA2;Kreuzlingen, Hauptzoll;0091024024;0473917321
210;408111;1;DINTHI1;Dingelsdorf / Thingolthalle;0090918934;0474413257
211;408112;1;DINTHI2;Dingelsdorf / Thingolthalle;0090919301;0474412289
212;500021;1;BODENSE3;Bodensee-Stadion;0091235013;0474001294
213;30911;1;WOLLSCH1;Grundschule Wollmatingen;0090857065;0474123311
214;61501;1;BOFO1;Bodenseeforum / IHK;0091000090;0474018185
215;60802;1;MAXW2;Max Stromeyer Straße West;0090906835;0474044396
216;10002;1;STAAD2;Staad / Autofähre;0091233359;0474055169
217;31202;1;BRANDEN2;Brandenburger Straße;0090846689;0474108629
218;41302;1;MAINAU2;Mainau;0091101874;0474203987
219;90002;1;UNIVERS2;Universität;0091116054;0474122712
220;90602;1;PFEIFWE2;Pfeiferhölzle Wendeplatte;0091025231;0474058011
221;90102;1;UNIWEST2;Universität West;0091110645;0474122072
222;90101;1;UNIWEST1;Universität West;0091110695;0474122087
223;222222;4;SCHDEAU;Schranke Dettingen auswärts;0090843226;0474134152
224;333333;4;SCHDEEIN;Schranke Dettingen einwärts;0090831304;0474209773
225;91802;1;SONTANN2;Sonnenbühlstraße / Tannenhof;0091150225;0474033561
226;83001;1;BÄCKERH1;Scherzingen, Bäckerstübli;0091335719;0473749233
227;83002;1;BÄCKERH2;Scherzingen, Bäckerstübli;0091336088;0473749157
228;83101;1;SCHEKI1;Scherzingen, Kirche;0091324562;0473755455
229;83102;1;SCHEKI2;Scherzingen, Kirche;0091323991;0473755668
230;60221;1;NEUERH1;Neue Rheinbrücke;0090948710;0474019037
231;60222;1;NEUERH2;Neue Rheinbrücke;0090947744;0474019350
232;11000001;1;MARKTCH;Marktstätte/BHF Richtung CH;0091037347;0473934787
233;40404;1;WALLHLI4;Wallhausen / Linzgaublick;0090758269;0474446281
234;91801;1;SONTANN1;Sonnenbühlstraße / Tannenhof;0091148264;0474034525
235;30401;1;GSS1;Geschwister-Scholl-Schule;0090944666;0474116943
236;10003;1;STAAD3;Staad / Autofähre, Hotel Schiff;0091238852;0474054442
237;10004;1;STAAD4;Staad / Autofähre, Hotel Schiff;0091241571;0474054437
238;64352;1;EBERT2;Ebertplatz;0091029607;0474013865
239;70404;1;GOTTMAN4;Gottmannplatz;0091011372;0474022160
240;201111;1;WOLLWE1;Kombilinie 2/12;0090816845;0474148640
241;201112;1;WOLLWE2;Kombilinie 2/12;0090818201;0474147195
242;32221;1;ERHER;Ersatzhaltestelle Herosestraße;0090929344;0474057883
