;DATUM;FPL_ID;DPL_ID;LBEZ
181;19.07.2020;1004040;;
182;20.07.2020;1004061;;
183;21.07.2020;1004061;;
184;22.07.2020;1004062;;
185;23.07.2020;1004062;;
186;24.07.2020;1004063;;
187;25.07.2020;1004041;;
188;26.07.2020;1004040;;
189;27.07.2020;1004058;;
190;28.07.2020;1004058;;
191;29.07.2020;1004059;;
192;30.07.2020;1004050;;
193;31.07.2020;1004051;;
194;01.08.2020;1004028;;
195;02.08.2020;1004040;;
196;03.08.2020;1004052;;
197;04.08.2020;1004052;;
198;05.08.2020;1004053;;
199;06.08.2020;1004053;;
200;07.08.2020;1004054;;
201;08.08.2020;1004041;;
202;09.08.2020;1004040;;
203;10.08.2020;1004052;;
204;11.08.2020;1004052;;
205;12.08.2020;1004053;;
206;13.08.2020;1004053;;
207;14.08.2020;1004054;;
208;15.08.2020;1004041;;
209;16.08.2020;1004040;;
210;17.08.2020;1004052;;
211;18.08.2020;1004052;;
212;19.08.2020;1004053;;
213;20.08.2020;1004053;;
214;21.08.2020;1004054;;
215;22.08.2020;1004041;;
216;23.08.2020;1004040;;
217;24.08.2020;1004052;;
218;25.08.2020;1004052;;
219;26.08.2020;1004053;;
220;27.08.2020;1004053;;
221;28.08.2020;1004054;;
222;29.08.2020;1004041;;
223;30.08.2020;1004040;;
224;31.08.2020;1004049;;
225;01.09.2020;1004049;;
226;02.09.2020;1004050;;
227;03.09.2020;1004050;;
228;04.09.2020;1004051;;
229;05.09.2020;1004041;;
230;06.09.2020;1004040;;
231;07.09.2020;1004049;;
232;08.09.2020;1004049;;
233;09.09.2020;1004050;;
234;10.09.2020;1004050;;
235;11.09.2020;1004051;;
236;12.09.2020;1004041;;
237;13.09.2020;1004040;;
238;14.09.2020;1004018;;
239;15.09.2020;1004018;;
240;16.09.2020;1004003;;
241;17.09.2020;1004003;;
242;18.09.2020;1004006;;
243;19.09.2020;1004007;;
244;20.09.2020;1004008;;
245;21.09.2020;1004018;;
246;22.09.2020;1004018;;
247;23.09.2020;1004003;;
248;24.09.2020;1004003;;
249;25.09.2020;1004006;;
250;26.09.2020;1004007;;
251;27.09.2020;1004008;;
252;28.09.2020;1004018;;
253;29.09.2020;1004018;;
254;30.09.2020;1004003;;
255;01.10.2020;1004003;;
256;02.10.2020;1004006;;
257;03.10.2020;1004066;;Tag der deutschen Einheit
258;04.10.2020;1004008;;
259;05.10.2020;1004018;;
260;06.10.2020;1004018;;
261;07.10.2020;1004003;;
262;08.10.2020;1004003;;
263;09.10.2020;1004006;;
264;10.10.2020;1004007;;
265;11.10.2020;1004008;;
266;12.10.2020;1004020;;
267;13.10.2020;1004020;;
268;14.10.2020;1004021;;
269;15.10.2020;1004021;;
270;16.10.2020;1004022;;
271;17.10.2020;1004007;;
272;18.10.2020;1004008;;
273;19.10.2020;1004020;;
274;20.10.2020;1004020;;
275;21.10.2020;1004021;;
276;22.10.2020;1004021;;
277;23.10.2020;1004022;;
278;24.10.2020;1004007;;
279;25.10.2020;1004008;;
280;26.10.2020;1004019;;
281;27.10.2020;1004019;;
282;28.10.2020;1004015;;
283;29.10.2020;1004015;;
284;30.10.2020;1004014;;
285;31.10.2020;1004007;;
286;01.11.2020;1004008;;Allerheiligen
287;02.11.2020;1004016;;
288;03.11.2020;1004016;;
289;04.11.2020;1004001;;
290;05.11.2020;1004001;;
291;06.11.2020;1004004;;
292;07.11.2020;1004007;;
293;08.11.2020;1004008;;
294;09.11.2020;1004016;;
295;10.11.2020;1004016;;
296;11.11.2020;1004001;;
297;12.11.2020;1004001;;
298;13.11.2020;1004004;;
299;14.11.2020;1004007;;
300;15.11.2020;1004008;;
301;16.11.2020;1004016;;
302;17.11.2020;1004016;;
303;18.11.2020;1004001;;
304;19.11.2020;1004001;;
305;20.11.2020;1004004;;
306;21.11.2020;1004007;;
307;22.11.2020;1004008;;
308;23.11.2020;1004016;;
309;24.11.2020;1004016;;
310;25.11.2020;1004001;;
311;26.11.2020;1004001;;
312;27.11.2020;1004004;;
313;28.11.2020;1004007;;
314;29.11.2020;1004008;;
315;30.11.2020;1004016;;
316;01.12.2020;1004016;;
317;02.12.2020;1004001;;
318;03.12.2020;1004001;;
319;04.12.2020;1004004;;
320;05.12.2020;1004007;;
321;06.12.2020;1004008;;
322;07.12.2020;1004016;;
323;08.12.2020;1004016;;
324;09.12.2020;1004001;;
325;10.12.2020;1004001;;
326;11.12.2020;1004004;;
327;12.12.2020;1004007;;
