;VON_ORT_NR;VON_ORT_TYP;NACH_ORT_NR;NACH_ORT_TYP;FGR;DAUER
385;500021;1;50301;1;2;120
386;710101;1;70001;1;2;120
387;710102;1;70602;1;2;120
388;710102;1;70603;1;2;60
389;222222;4;40002;1;2;525
390;333333;4;20001;1;2;180
391;6101;1;60801;1;3;120
392;6101;1;60901;1;3;60
393;10001;1;10301;1;3;60
394;10002;1;10102;1;3;120
395;10102;1;10202;1;3;120
396;10202;1;41302;1;3;120
397;10301;1;10401;1;3;60
398;10302;1;10002;1;3;60
399;10401;1;91701;1;3;60
400;10402;1;10302;1;3;60
401;20001;1;31101;1;3;60
402;20501;1;20001;1;3;120
403;20601;1;20501;1;3;60
404;31101;1;6101;1;3;60
405;31101;1;31301;1;3;60
406;31301;1;6101;1;3;60
407;40001;1;333333;4;3;360
408;40101;1;40001;1;3;60
409;40201;1;40101;1;3;60
410;40301;1;40201;1;3;120
411;40401;1;40301;1;3;60
412;40501;1;40601;1;3;60
413;40502;1;40401;1;3;60
414;40601;1;40701;1;3;60
415;40602;1;40502;1;3;120
416;40701;1;40801;1;3;60
417;40702;1;40602;1;3;120
418;40801;1;408111;1;3;60
419;40802;1;40702;1;3;60
420;40901;1;41001;1;3;120
421;40902;1;408112;1;3;120
422;41001;1;41101;1;3;60
423;41002;1;40902;1;3;120
424;41101;1;41201;1;3;60
425;41102;1;41002;1;3;60
426;41201;1;20601;1;3;180
427;41202;1;41102;1;3;60
428;41302;1;41202;1;3;180
429;60101;1;70404;1;3;120
430;60221;1;61501;1;3;60
431;60301;1;60305;1;3;120
432;60305;1;60101;1;3;60
433;60306;1;60221;1;3;120
434;60401;1;60301;1;3;60
435;60501;1;60401;1;3;60
436;60701;1;60306;1;3;120
437;60801;1;60701;1;3;60
438;60901;1;61201;1;3;120
439;61201;1;61301;1;3;60
440;61301;1;60501;1;3;60
441;61401;1;70101;1;3;60
442;61401;1;70901;1;3;120
443;61501;1;61401;1;3;60
444;70002;1;90902;1;3;60
445;70101;1;70901;1;3;120
446;70404;1;61401;1;3;60
447;70901;1;110201;1;3;120
448;71001;1;110801;1;3;120
449;71002;1;70002;1;3;120
450;71002;1;91302;1;3;120
451;90902;1;91002;1;3;60
452;91002;1;91702;1;3;60
453;91201;1;91301;1;3;60
454;91202;1;91702;1;3;60
455;91301;1;71001;1;3;120
456;91302;1;91202;1;3;60
457;91701;1;91201;1;3;60
458;91702;1;10402;1;3;60
459;100001;1;100101;1;3;60
460;100101;1;100111;1;3;60
461;100111;1;110501;1;3;60
462;100901;1;100001;1;3;120
463;110002;1;110202;1;3;60
464;110201;1;110001;1;3;60
465;110202;1;71002;1;3;120
466;110401;1;110002;1;3;60
467;110501;1;110401;1;3;60
468;110701;1;100901;1;3;60
469;110801;1;110701;1;3;60
470;408111;1;40901;1;3;60
471;408112;1;40802;1;3;60
472;333333;4;20001;1;3;180
473;10302;1;10002;1;4;120
474;10402;1;10302;1;4;60
475;20001;1;30911;1;4;60
476;20001;1;31101;1;4;60
477;20002;1;20102;1;4;60
478;20101;1;20001;1;4;60
479;20102;1;201112;1;4;60
480;30101;1;30201;1;4;60
481;30102;1;30912;1;4;60
482;30201;1;30501;1;4;60
483;30202;1;30102;1;4;60
484;30302;1;30202;1;4;60
485;30402;1;90102;1;4;240
486;30501;1;30601;1;4;60
487;30502;1;30302;1;4;60
488;30502;1;30402;1;4;60
489;30601;1;32221;1;4;60
490;30702;1;30502;1;4;60
491;30911;1;30101;1;4;60
492;30912;1;20002;1;4;120
493;31001;1;32501;1;4;60
494;31002;1;30702;1;4;60
495;31002;1;32102;1;4;60
496;31101;1;31401;1;4;60
497;31102;1;20002;1;4;120
498;31401;1;31901;1;4;60
499;31502;1;31102;1;4;60
500;31601;1;31502;1;4;60
501;31802;1;31601;1;4;120
502;31901;1;30702;1;4;120
503;31901;1;32001;1;4;120
504;32001;1;32101;1;4;60
505;32002;1;31802;1;4;60
506;32101;1;31001;1;4;60
507;32102;1;32002;1;4;60
508;32221;1;31001;1;4;60
509;32501;1;70601;1;4;60
510;32502;1;31002;1;4;60
511;50101;1;500021;1;4;60
512;50201;1;50101;1;4;120
513;50201;1;500021;1;4;60
514;50301;1;50401;1;4;60
515;50401;1;50501;1;4;60
516;50501;1;91301;1;4;120
517;61002;1;31401;1;4;60
518;70001;1;71001;1;4;120
519;70002;1;710102;1;4;60
520;70601;1;710101;1;4;60
521;70602;1;32502;1;4;60
522;71001;1;110201;1;4;120
523;71001;1;110801;1;4;120
524;71002;1;70002;1;4;120
525;90102;1;90201;1;4;120
526;90201;1;90701;1;4;60
527;90701;1;91601;1;4;60
528;91301;1;71001;1;4;120
529;91601;1;91801;1;4;60
530;91801;1;10402;1;4;120
531;110002;1;110202;1;4;60
532;110201;1;110001;1;4;120
533;110202;1;71002;1;4;120
534;110401;1;110002;1;4;120
535;110501;1;110401;1;4;60
536;110701;1;110501;1;4;120
537;110801;1;110701;1;4;60
538;201111;1;20101;1;4;60
539;500021;1;50301;1;4;60
540;710101;1;70001;1;4;120
541;710102;1;70602;1;4;120
542;6101;1;60901;1;5;0
543;20001;1;30911;1;5;60
544;20001;1;31101;1;5;60
545;20002;1;20102;1;5;60
546;20101;1;20001;1;5;60
547;20102;1;201112;1;5;0
548;20501;1;20001;1;5;120
549;20601;1;20501;1;5;60
550;30101;1;30201;1;5;60
551;30102;1;30912;1;5;60
552;30201;1;30501;1;5;60
553;30202;1;30102;1;5;60
554;30302;1;30202;1;5;60
555;30501;1;30601;1;5;60
556;30502;1;30302;1;5;60
557;30601;1;32221;1;5;60
558;30702;1;30502;1;5;60
559;30911;1;30101;1;5;60
560;30912;1;20002;1;5;60
561;31001;1;32501;1;5;60
562;31002;1;30702;1;5;60
563;31101;1;31301;1;5;60
564;31301;1;6101;1;5;60
565;32221;1;31001;1;5;60
566;32501;1;70601;1;5;60
567;32502;1;31002;1;5;60
568;41001;1;41101;1;5;60
569;41101;1;41201;1;5;60
570;41201;1;20601;1;5;120
571;60101;1;70404;1;5;60
572;60301;1;60305;1;5;60
573;60305;1;60101;1;5;60
574;60401;1;60301;1;5;60
575;60501;1;60401;1;5;60
576;60901;1;61201;1;5;60
577;61201;1;61301;1;5;60
578;61301;1;60501;1;5;60
579;61401;1;70101;1;5;60
580;70001;1;71001;1;5;120
581;70002;1;710102;1;5;60
582;70101;1;70901;1;5;120
583;70404;1;61401;1;5;60
584;70601;1;710101;1;5;60
585;70602;1;32502;1;5;60
586;70901;1;110201;1;5;60
587;71001;1;110801;1;5;120
588;71002;1;70002;1;5;120
589;110002;1;110202;1;5;60
590;110201;1;110001;1;5;60
591;110202;1;71002;1;5;120
592;110401;1;110002;1;5;120
593;110501;1;110401;1;5;60
594;110701;1;110501;1;5;120
595;110801;1;110701;1;5;60
596;201111;1;20101;1;5;60
597;710101;1;70001;1;5;120
598;710102;1;70602;1;5;120
599;71002;1;70002;1;6;300
600;80001;1;80301;1;6;60
601;80201;1;80001;1;6;60
602;80301;1;80401;1;6;60
603;80401;1;80501;1;6;60
604;80501;1;80601;1;6;60
605;80601;1;80701;1;6;60
606;80701;1;200011;1;6;120
607;81201;1;82901;1;6;60
608;82101;1;82301;1;6;240
609;82301;1;82401;1;6;60
610;82401;1;83001;1;6;120
611;82801;1;80201;1;6;60
612;82901;1;110002;1;6;240
613;83001;1;83101;1;6;60
614;83101;1;82801;1;6;180
615;110002;1;110202;1;6;60
616;110202;1;71002;1;6;120
617;200011;1;81201;1;6;60
618;10002;1;10102;1;7;120
619;10101;1;10301;1;7;60
620;10102;1;10202;1;7;120
621;10201;1;10101;1;7;120
622;10202;1;41302;1;7;120
623;10301;1;10401;1;7;60
624;10302;1;10002;1;7;300
625;10401;1;91701;1;7;60
626;10402;1;10302;1;7;60
627;20001;1;30911;1;7;60
628;20002;1;222222;4;7;11
629;30101;1;30201;1;7;60
630;30102;1;30912;1;7;60
631;30201;1;30501;1;7;60
632;30202;1;30102;1;7;60
633;30302;1;30202;1;7;60
634;30501;1;30601;1;7;60
635;30502;1;30302;1;7;60
636;30601;1;32221;1;7;60
637;30702;1;30502;1;7;60
638;30911;1;30101;1;7;60
639;30912;1;20002;1;7;60
640;31001;1;60305;1;7;60
641;31002;1;30702;1;7;60
642;32221;1;31001;1;7;60
643;32501;1;70601;1;7;60
644;32502;1;60305;1;7;60
645;40001;1;333333;4;7;303
646;40002;1;40102;1;7;60
647;40101;1;40001;1;7;60
648;40102;1;40202;1;7;60
649;40201;1;40101;1;7;60
650;40202;1;40302;1;7;120
651;40301;1;40201;1;7;120
652;40302;1;40404;1;7;60
653;40401;1;40301;1;7;60
654;40404;1;40501;1;7;60
655;40501;1;40601;1;7;60
656;40502;1;40401;1;7;60
657;40601;1;40701;1;7;60
658;40602;1;40502;1;7;60
659;40701;1;40801;1;7;60
660;40702;1;40602;1;7;60
661;40801;1;408111;1;7;60
662;40802;1;40702;1;7;60
663;40901;1;41001;1;7;120
664;40902;1;408112;1;7;60
665;41001;1;41101;1;7;60
666;41002;1;40902;1;7;120
667;41101;1;41201;1;7;60
668;41102;1;41002;1;7;60
669;41201;1;41301;1;7;120
